[Potential]
type=Multipole
gridSizeR=25
lmax=0
symmetry=Spherical
Coefficients
#Phi
#radius	l=0,m=0
0.0104250481819	-4293.9758174953094567
0.0142845885105	-4274.7650554573174304
0.0195730000817	-4238.9210178794482999
0.0268192767272	-4172.9667578918906656
0.0367482553092	-4055.3849752769078805
0.0503531203323	-3857.3656866469318629
0.0689947510670	-3551.9950463357076842
0.0945378487644	-3133.7485673134324315
0.1295374606152	-2634.7666924331019800
0.1774945582321	-2116.4407043536098172
0.2432062358824	-1639.2431990189456883
0.3332455584061	-1238.2832198332566804
0.4566190574616	-921.19842961321796793
0.6256676447073	-679.36436581202156049
0.8573010592457	-498.61400442341840744
1.1746893297120	-364.99115235440950755
1.6095804460494	-266.79423230802655098
2.2054760750569	-194.86550065135818954
3.0219829829489	-142.27124097803431368
4.1407754328040	-103.85072034276402064
5.6737649687828	-75.798019758618693231
7.7742948013938	-55.320405561651931237
10.652478555513	-40.374140095563056718
14.596217698783	-29.465711897043728840
20.000000000000	-21.504468488825853711

#dPhi/dr
#radius	l=0,m=0
0.0104250481819	4205.48235939295682329
0.0142845885105	5745.76383167847416189
0.0195730000817	7792.38885326330273529
0.0268192767272	10352.7678693440866482
0.0367482553092	13188.7834522586326784
0.0503531203323	15651.4347303672329872
0.0689947510670	16739.9906078082458407
0.0945378487644	15690.3740466109356930
0.1295374606152	12743.4986931870298577
0.1774945582321	9054.18768354449275648
0.2432062358824	5774.79317904892468505
0.3332455584061	3415.58606073678947723
0.4566190574616	1927.98561209800300276
0.6256676447073	1059.71793722208030886
0.8573010592457	574.100773470700801226
1.1746893297120	308.594066301103168826
1.6095804460494	165.170891575018799813
2.2054760750569	88.1997088053464182167
3.0219829829489	47.0386066818338264284
4.1407754328040	25.0699800499857730074
5.6737649687828	13.3569479306982703548
7.7742948013938	7.11523087509591967148
10.652478555513	3.78998164628826472722
14.596217698783	2.01869109023764048416
20.000000000000	1.07521619863821804586
