# Global statistics file
######################################################
# The quantities are all given in internal units!
#
# (0)  Simulation step
#      Unit = dimensionless
# (1)  Time since Big Bang (cosmological run), Time since start of the simulation (non-cosmological run).
#      Unit = 1.000000e+00 s
#      Unit = 3.168877e-08 yr 
#      Unit = 3.168877e-14 Myr 
# (2)  Scale factor
#      Unit = dimensionless
# (3)  Redshift
#      Unit = dimensionless
# (4)  Total mass in the simulation. 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (5)  Total gas mass in the simulation (Particle type 0). 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (6)  Total dark matter mass in the simulation (Particle type 1 & 2). 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (7)  Total sink mass in the simulation (Particle type 3). 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (8)  Total stellar mass in the simulation (Particle type 4). 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (9)  Total black hole mass in the simulation (Particle type 5). 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (10) Total metal mass in the gas phase. 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (11) Total metal mass locked in stars. 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (12) Total metal mass locked in black holes. 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (13) Total kinetic energy (physical). 
#      Unit = 1.000000e+00 erg
# (14) Total internal (thermal) energy of the gas (physical). 
#      Unit = 1.000000e+00 erg
# (15) Total potential energy (physical). 
#      Unit = 1.000000e+00 erg
# (16) Total radiated energy of the gas (physical). 
#      Unit = 1.000000e+00 erg
# (17) Total gas entropy (physical). 
#      Unit = 1.000000e+00 gram**(0.333) * cm**(4.000) * s**(-2.000)
# (18) Comoving centre of mass of the simulation (x coordinate). 
#      Unit = 1.000000e+00 cm
#      Unit = 3.240779e-19 pc
#      Unit = 3.240779e-25 Mpc
# (19) Comoving centre of mass of the simulation (y coordinate). 
#      Unit = 1.000000e+00 cm
#      Unit = 3.240779e-19 pc
#      Unit = 3.240779e-25 Mpc
# (20) Comoving centre of mass of the simulation (z coordinate). 
#      Unit = 1.000000e+00 cm
#      Unit = 3.240779e-19 pc
#      Unit = 3.240779e-25 Mpc
# (21) Comoving momentum of the simulation (x coordinate). 
#      Unit = 1.000000e+00 gram * cm * s**-1
# (22) Comoving momentum of the simulation (y coordinate). 
#      Unit = 1.000000e+00 gram * cm * s**-1
# (23) Comoving momentum of the simulation (z coordinate). 
#      Unit = 1.000000e+00 gram * cm * s**-1
# (24) Comoving angular momentum of the simulation (x coordinate). 
#      Unit = 1.000000e+00 gram * cm**2 * s**-1
# (25) Comoving angular momentum of the simulation (y coordinate). 
#      Unit = 1.000000e+00 gram * cm**2 * s**-1
# (26) Comoving angular momentum of the simulation (z coordinate). 
#      Unit = 1.000000e+00 gram * cm**2 * s**-1
# (27) Sum of instantaneous accretion rate of all black holes in the simulation. 
#      Unit = 1.000000e+00 gram * s**-1
#      Unit = 1.587043e-26 Msun/yr
# (28)  Total mass accreted by black holes in the simulation (not including mass accreted by progenitors that have merged in the current BHs). 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (29)  Total black hole subgrid mass in the simulation. 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (30) Total Hydrogen (all species) mass in the gas phase of the simulation. 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (31) Total Molecular Hydrogen mass in the gas phase of the simulation. 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (32) Total Atomic Hydrogen mass in the gas phase of the simulation. 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (33) Total Helium (all species) mass in the gas phase of the simulation. 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (34) Total Magnetic Energy B2/(2*mu0) in thesimulation. 
#      Unit = 1.000000e+00 erg
# (35) Total DivB error in thesimulation. 
#      Unit = dimensionless
# (36) Total Cross Helicity :: sum(V.B) in thesimulation. 
#      Unit = 1.000000e+00 gram * cm * s**-3 * A**-1 
# (37) Total Magnetic Helicity :: sum(A.B) in thesimulation. 
#      Unit = 1.000000e+00 gram**2 * cm * s**-4 * A**-2
# (38) Total bolometric luminosity of the BHs. 
#      Unit = 1.000000e+00 erg
# (39) Total jet power of the BHs. 
#      Unit = 1.000000e+00 erg
#
#           (0)            (1)            (2)            (3)            (4)            (5)            (6)            (7)            (8)            (9)           (10)           (11)           (12)           (13)           (14)           (15)           (16)           (17)           (18)           (19)           (20)           (21)           (22)           (23)           (24)           (25)           (26)           (27)           (28)           (29)           (30)           (31)           (32)           (33)           (34)            (35)            (36)            (37)           (38)            (39) 
#          Step           Time              a              z     Total mass       Gas mass        DM mass      Sink mass      Star mass        BH mass     Gas Z mass    Star Z mass      BH Z mass    Kin. Energy    Int. Energy    Pot. energy    Rad. energy    Gas Entropy          CoM x          CoM y          CoM z         Mom. x         Mom. y         Mom. z    Ang. mom. x    Ang. mom. y    Ang. mom. z   BH acc. rate   BH acc. mass   BH sub. mass     Gas H mass    Gas H2 mass    Gas HI mass    Gas He mass    Mag. Energy        DivB err  Cross Helicity   Mag. Helicity   BH bol. lum.   BH jet power 
           1092   1.000000e-01      1.0000000      0.0000000   1.000000e+00   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   6.842899e-03   4.824937e-02  -6.743978e-01   0.000000e+00   7.748931e-02   5.000573e+01   4.999921e+01   5.000399e+01   5.248420e-06   1.233532e-06   2.195709e-06   4.627342e-05   1.539206e-04  -2.020682e-04   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.629749e-03   0.000000e+00   2.859508e-02   0.000000e+00   0.000000e+00   0.000000e+00
           1201   1.100000e-01      1.0000000      0.0000000   1.000000e+00   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   8.062912e-03   4.805031e-02  -6.752598e-01   0.000000e+00   7.760409e-02   5.000573e+01   4.999921e+01   5.000399e+01   6.566863e-06   1.249661e-06   2.776881e-06   7.399121e-05   1.911357e-04  -2.676405e-04   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.583701e-03   0.000000e+00   3.872251e-02   0.000000e+00   0.000000e+00   0.000000e+00
           1310   1.200000e-01      1.0000000      0.0000000   1.000000e+00   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   9.351820e-03   4.787943e-02  -6.762152e-01   0.000000e+00   7.774086e-02   5.000573e+01   4.999921e+01   5.000399e+01   8.045605e-06   1.167042e-06   3.410803e-06   1.092476e-04   2.337777e-04  -3.462667e-04   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.541419e-03   0.000000e+00   5.399950e-02   0.000000e+00   0.000000e+00   0.000000e+00
           1419   1.300000e-01      1.0000000      0.0000000   1.000000e+00   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.073775e-02   4.774003e-02  -6.773024e-01   0.000000e+00   7.790017e-02   5.000573e+01   4.999921e+01   5.000399e+01   9.686675e-06   9.547196e-07   4.090443e-06   1.532264e-04   2.822886e-04  -4.395818e-04   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.503689e-03   0.000000e+00   6.348136e-02   0.000000e+00   0.000000e+00   0.000000e+00
           1529   1.400000e-01      1.0000000      0.0000000   1.000000e+00   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.209647e-02   4.763543e-02  -6.784113e-01   0.000000e+00   7.808300e-02   5.000573e+01   4.999921e+01   5.000399e+01   1.151107e-05   5.803839e-07   4.828350e-06   2.081586e-04   3.370781e-04  -5.502603e-04   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.471214e-03   0.000000e+00   6.149874e-02   0.000000e+00   0.000000e+00   0.000000e+00
           1638   1.500000e-01      1.0000000      0.0000000   1.000000e+00   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.350345e-02   4.756874e-02  -6.796015e-01   0.000000e+00   7.828848e-02   5.000573e+01   4.999921e+01   5.000399e+01   1.348890e-05   3.929795e-08   5.591183e-06   2.726373e-04   3.983158e-04  -6.770424e-04   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.444559e-03   0.000000e+00   5.850240e-02   0.000000e+00   0.000000e+00   0.000000e+00
           1747   1.600000e-01      1.0000000      0.0000000   1.000000e+00   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.506047e-02   4.754649e-02  -6.809928e-01   0.000000e+00   7.851901e-02   5.000573e+01   4.999921e+01   5.000399e+01   1.563247e-05  -7.038439e-07   6.362758e-06   3.476212e-04   4.674050e-04  -8.223254e-04   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.424252e-03   0.000000e+00   5.203180e-02   0.000000e+00   0.000000e+00   0.000000e+00
           1856   1.700000e-01      1.0000000      0.0000000   1.000000e+00   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.653355e-02   4.757061e-02  -6.823547e-01   0.000000e+00   7.877302e-02   5.000573e+01   4.999921e+01   5.000399e+01   1.793888e-05  -1.668490e-06   7.147051e-06   4.342845e-04   5.440006e-04  -9.869317e-04   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.410667e-03   0.000000e+00   5.760124e-02   0.000000e+00   0.000000e+00   0.000000e+00
           1966   1.800000e-01      1.0000000      0.0000000   1.000000e+00   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.811457e-02   4.763942e-02  -6.838910e-01   0.000000e+00   7.904735e-02   5.000573e+01   4.999921e+01   5.000399e+01   2.042447e-05  -2.843063e-06   7.918380e-06   5.307833e-04   6.301754e-04  -1.171102e-03   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.404146e-03   0.000000e+00   6.379559e-02   0.000000e+00   0.000000e+00   0.000000e+00
           2075   1.900000e-01      1.0000000      0.0000000   1.000000e+00   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.980520e-02   4.775941e-02  -6.855846e-01   0.000000e+00   7.934594e-02   5.000573e+01   4.999921e+01   5.000399e+01   2.309060e-05  -4.247532e-06   8.675884e-06   6.380701e-04   7.260401e-04  -1.375914e-03   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.404879e-03   0.000000e+00   7.701248e-02   0.000000e+00   0.000000e+00   0.000000e+00
           2184   2.000000e-01      1.0000000      0.0000000   1.000000e+00   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   2.147720e-02   4.793060e-02  -6.873196e-01   0.000000e+00   7.966667e-02   5.000573e+01   4.999921e+01   5.000399e+01   2.593951e-05  -5.866827e-06   9.409490e-06   7.549103e-04   8.321725e-04  -1.600718e-03   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.413002e-03   0.000000e+00   8.171051e-02   0.000000e+00   0.000000e+00   0.000000e+00
           2293   2.100000e-01      1.0000000      0.0000000   1.000000e+00   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   2.321502e-02   4.815016e-02  -6.891828e-01   0.000000e+00   8.000618e-02   5.000573e+01   4.999921e+01   5.000399e+01   2.898048e-05  -7.736569e-06   1.010738e-05   8.824805e-04   9.496371e-04  -1.847765e-03   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.428800e-03   0.000000e+00   7.153683e-02   0.000000e+00   0.000000e+00   0.000000e+00
           2402   2.200000e-01      1.0000000      0.0000000   1.000000e+00   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   2.498883e-02   4.842563e-02  -6.911497e-01   0.000000e+00   8.036860e-02   5.000573e+01   4.999921e+01   5.000399e+01   3.219625e-05  -9.836993e-06   1.076315e-05   1.019481e-03   1.077873e-03  -2.115206e-03   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.452419e-03   0.000000e+00   6.049712e-02   0.000000e+00   0.000000e+00   0.000000e+00
           2512   2.300000e-01      1.0000000      0.0000000   1.000000e+00   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   2.676575e-02   4.875237e-02  -6.932005e-01   0.000000e+00   8.074886e-02   5.000573e+01   4.999921e+01   5.000399e+01   3.559615e-05  -1.214809e-05   1.136075e-05   1.164126e-03   1.218138e-03  -2.402517e-03   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.484021e-03   0.000000e+00   4.326515e-02   0.000000e+00   0.000000e+00   0.000000e+00
           2621   2.400000e-01      1.0000000      0.0000000   1.000000e+00   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   2.867537e-02   4.912957e-02  -6.954271e-01   0.000000e+00   8.114741e-02   5.000573e+01   4.999921e+01   5.000399e+01   3.920422e-05  -1.467242e-05   1.187873e-05   1.315475e-03   1.372685e-03  -2.711031e-03   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.523740e-03   0.000000e+00   6.309758e-02   0.000000e+00   0.000000e+00   0.000000e+00
           2730   2.500000e-01      1.0000000      0.0000000   1.000000e+00   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.065003e-02   4.956229e-02  -6.977862e-01   0.000000e+00   8.156536e-02   5.000573e+01   4.999921e+01   5.000399e+01   4.302510e-05  -1.739449e-05   1.235093e-05   1.474457e-03   1.540027e-03  -3.040193e-03   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.571740e-03   0.000000e+00   6.009992e-02   0.000000e+00   0.000000e+00   0.000000e+00
           2839   2.600000e-01      1.0000000      0.0000000   1.000000e+00   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.265629e-02   5.004860e-02  -7.002434e-01   0.000000e+00   8.199631e-02   5.000573e+01   4.999921e+01   5.000399e+01   4.707409e-05  -2.030252e-05   1.281485e-05   1.642373e-03   1.719031e-03  -3.390189e-03   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.628081e-03   0.000000e+00   5.479878e-02   0.000000e+00   0.000000e+00   0.000000e+00
