# task_type, task_subtype, depth, count
sort none 0 1728
self density 0 1728
self force 0 1728
pair density 0 22464
pair force 0 22464
ghost_in none 0 1728
ghost none 0 1728
ghost_out none 0 1728
drift_part none 0 1728
hydro_end_force none 0 1728
kick1 none 0 1728
kick2 none 0 1728
timestep none 0 1728
collect none 0 1728
