# v0.9.0-1395-gb3c101bc-dirty
task_in,task_out,implicit_in,implicit_out,mpi_in,mpi_out,cluster_in,cluster_out,number_link,number_rank,task_in_is_top,task_in_is_hydro_super,task_in_is_grav_super,task_out_is_top,task_out_is_hydro_super,task_out_is_grav_super,cell_has_active_task
sort,sub_self_density,0,0,0,0,None,Density,1728,1,1,1,1,1,1,1,1
sort,pair_density,0,0,0,0,None,Density,13824,1,1,1,1,0,0,0,1
sort,sub_pair_density,0,0,0,0,None,Density,31104,1,1,1,1,1,1,1,1
pair_density,ghost_in,0,1,0,0,Density,None,13824,1,0,0,0,1,1,1,1
pair_force,hydro_end_force,0,0,0,0,Force,None,13824,1,0,0,0,1,1,1,1
sub_self_density,ghost_in,0,1,0,0,Density,None,1728,1,1,1,1,1,1,1,1
sub_self_force,hydro_end_force,0,0,0,0,Force,None,1728,1,1,1,1,1,1,1,1
sub_pair_density,ghost_in,0,1,0,0,Density,None,31104,1,1,1,1,1,1,1,1
sub_pair_force,hydro_end_force,0,0,0,0,Force,None,31104,1,1,1,1,1,1,1,1
ghost_in,ghost,1,0,0,0,None,None,13824,1,1,1,1,0,0,0,1
ghost,ghost_out,0,1,0,0,None,None,13824,1,0,0,0,1,1,1,1
ghost_out,sub_self_force,1,0,0,0,None,Force,1728,1,1,1,1,1,1,1,1
ghost_out,pair_force,1,0,0,0,None,Force,13824,1,1,1,1,0,0,0,1
ghost_out,sub_pair_force,1,0,0,0,None,Force,31104,1,1,1,1,1,1,1,1
drift_part,sub_self_density,0,0,0,0,None,Density,1728,1,1,1,1,1,1,1,1
drift_part,pair_density,0,0,0,0,None,Density,13824,1,1,1,1,0,0,0,1
drift_part,sub_pair_density,0,0,0,0,None,Density,31104,1,1,1,1,1,1,1,1
drift_part,sort,0,0,0,0,None,None,1728,1,1,1,1,1,1,1,1
hydro_end_force,kick2,0,0,0,0,None,None,1728,1,1,1,1,1,1,1,1
kick2,timestep,0,0,0,0,None,None,1728,1,1,1,1,1,1,1,1
timestep,kick1,0,0,0,0,None,None,1728,1,1,1,1,1,1,1,1
timestep,collect,0,0,0,0,None,None,1728,1,1,1,1,1,1,1,1
