# task_type, task_subtype, depth, count
sort none 0 1728
pair density 1 6912
pair force 1 6912
sub_self density 0 1728
sub_self force 0 1728
sub_pair density 0 15552
sub_pair force 0 15552
ghost_in none 0 1728
ghost none 1 13824
ghost_out none 0 1728
drift_part none 0 1728
hydro_end_force none 0 1728
kick1 none 0 1728
kick2 none 0 1728
timestep none 0 1728
collect none 0 1728
