# Global statistics file
######################################################
# The quantities are all given in internal units!
#
# (0)  Simulation step
#      Unit = dimensionless
# (1)  Time since Big Bang (cosmological run), Time since start of the simulation (non-cosmological run).
#      Unit = 1.000000e+00 s
#      Unit = 3.168877e-08 yr 
#      Unit = 3.168877e-14 Myr 
# (2)  Scale factor
#      Unit = dimensionless
# (3)  Redshift
#      Unit = dimensionless
# (4)  Total mass in the simulation. 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (5)  Total gas mass in the simulation (Particle type 0). 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (6)  Total dark matter mass in the simulation (Particle type 1 & 2). 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (7)  Total sink mass in the simulation (Particle type 3). 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (8)  Total stellar mass in the simulation (Particle type 4). 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (9)  Total black hole mass in the simulation (Particle type 5). 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (10) Total metal mass in the gas phase. 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (11) Total metal mass locked in stars. 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (12) Total metal mass locked in black holes. 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (13) Total kinetic energy (physical). 
#      Unit = 1.000000e+00 erg
# (14) Total internal (thermal) energy of the gas (physical). 
#      Unit = 1.000000e+00 erg
# (15) Total potential energy (physical). 
#      Unit = 1.000000e+00 erg
# (16) Total radiated energy of the gas (physical). 
#      Unit = 1.000000e+00 erg
# (17) Total gas entropy (physical). 
#      Unit = 1.000000e+00 gram**(0.333) * cm**(4.000) * s**(-2.000)
# (18) Comoving centre of mass of the simulation (x coordinate). 
#      Unit = 1.000000e+00 cm
#      Unit = 3.240779e-19 pc
#      Unit = 3.240779e-25 Mpc
# (19) Comoving centre of mass of the simulation (y coordinate). 
#      Unit = 1.000000e+00 cm
#      Unit = 3.240779e-19 pc
#      Unit = 3.240779e-25 Mpc
# (20) Comoving centre of mass of the simulation (z coordinate). 
#      Unit = 1.000000e+00 cm
#      Unit = 3.240779e-19 pc
#      Unit = 3.240779e-25 Mpc
# (21) Comoving momentum of the simulation (x coordinate). 
#      Unit = 1.000000e+00 gram * cm * s**-1
# (22) Comoving momentum of the simulation (y coordinate). 
#      Unit = 1.000000e+00 gram * cm * s**-1
# (23) Comoving momentum of the simulation (z coordinate). 
#      Unit = 1.000000e+00 gram * cm * s**-1
# (24) Comoving angular momentum of the simulation (x coordinate). 
#      Unit = 1.000000e+00 gram * cm**2 * s**-1
# (25) Comoving angular momentum of the simulation (y coordinate). 
#      Unit = 1.000000e+00 gram * cm**2 * s**-1
# (26) Comoving angular momentum of the simulation (z coordinate). 
#      Unit = 1.000000e+00 gram * cm**2 * s**-1
# (27) Sum of instantaneous accretion rate of all black holes in the simulation. 
#      Unit = 1.000000e+00 gram * s**-1
#      Unit = 1.587043e-26 Msun/yr
# (28)  Total mass accreted by black holes in the simulation (not including mass accreted by progenitors that have merged in the current BHs). 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (29)  Total black hole subgrid mass in the simulation. 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (30) Total Hydrogen (all species) mass in the gas phase of the simulation. 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (31) Total Molecular Hydrogen mass in the gas phase of the simulation. 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (32) Total Atomic Hydrogen mass in the gas phase of the simulation. 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (33) Total Helium (all species) mass in the gas phase of the simulation. 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (34) Total Magnetic Energy B2/(2*mu0) in thesimulation. 
#      Unit = 1.000000e+00 erg
# (35) Total DivB error in thesimulation. 
#      Unit = dimensionless
# (36) Total Cross Helicity :: sum(V.B) in thesimulation. 
#      Unit = 1.000000e+00 gram * cm * s**-3 * A**-1 
# (37) Total Magnetic Helicity :: sum(A.B) in thesimulation. 
#      Unit = 1.000000e+00 gram**2 * cm * s**-4 * A**-2
#
#           (0)            (1)            (2)            (3)            (4)            (5)            (6)            (7)            (8)            (9)           (10)           (11)           (12)           (13)           (14)           (15)           (16)           (17)           (18)           (19)           (20)           (21)           (22)           (23)           (24)           (25)           (26)           (27)           (28)           (29)           (30)           (31)           (32)           (33)           (34)            (35)            (36)            (37) 
#          Step           Time              a              z     Total mass       Gas mass        DM mass      Sink mass      Star mass        BH mass     Gas Z mass    Star Z mass      BH Z mass    Kin. Energy    Int. Energy    Pot. energy    Rad. energy    Gas Entropy          CoM x          CoM y          CoM z         Mom. x         Mom. y         Mom. z    Ang. mom. x    Ang. mom. y    Ang. mom. z   BH acc. rate   BH acc. mass   BH sub. mass     Gas H mass    Gas H2 mass    Gas HI mass    Gas He mass    Mag. Energy        DivB err  Cross Helicity   Mag. Helicity 
             51   3.000000e-02      1.0000000      0.0000000   8.000000e+00   8.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.851751e+00   1.906731e-02   0.000000e+00   0.000000e+00   1.181112e-02   1.000009e+00   1.000030e+00   9.999796e-01  -9.818664e-05  -1.817991e-04   1.579887e-04   3.466929e-04  -2.661605e-04  -7.807396e-05   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.120503e+06   3.909602e+03   4.292501e+01   0.000000e+00
             56   3.300000e-02      1.0000000      0.0000000   8.000000e+00   8.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.837938e+00   2.211150e-02   0.000000e+00   0.000000e+00   1.421633e-02   1.000009e+00   1.000030e+00   9.999796e-01  -9.821266e-05  -1.778773e-04   1.582294e-04   3.422805e-04  -2.681533e-04  -7.322805e-05   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.128850e+06   4.051415e+03   4.370274e+01   0.000000e+00
             61   3.600000e-02      1.0000000      0.0000000   8.000000e+00   8.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.823058e+00   2.509296e-02   0.000000e+00   0.000000e+00   1.651255e-02   1.000009e+00   1.000030e+00   9.999797e-01  -9.817485e-05  -1.750785e-04   1.572211e-04   3.371816e-04  -2.680946e-04  -6.981072e-05   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.137396e+06   4.160187e+03   4.443192e+01   0.000000e+00
             66   3.900000e-02      1.0000000      0.0000000   8.000000e+00   8.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.807698e+00   2.780355e-02   0.000000e+00   0.000000e+00   1.840550e-02   1.000009e+00   1.000030e+00   9.999797e-01  -9.811873e-05  -1.736814e-04   1.548507e-04   3.301327e-04  -2.666157e-04  -6.810592e-05   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.146141e+06   4.220758e+03   4.514634e+01   0.000000e+00
             71   4.200000e-02      1.0000000      0.0000000   8.000000e+00   8.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.792299e+00   3.033422e-02   0.000000e+00   0.000000e+00   2.001247e-02   1.000009e+00   1.000029e+00   9.999798e-01  -9.796419e-05  -1.736225e-04   1.513298e-04   3.235360e-04  -2.646824e-04  -6.815971e-05   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.155101e+06   4.226020e+03   4.575516e+01   0.000000e+00
             76   4.500000e-02      1.0000000      0.0000000   8.000000e+00   8.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.777186e+00   3.277098e-02   0.000000e+00   0.000000e+00   2.145915e-02   1.000009e+00   1.000029e+00   9.999798e-01  -9.754192e-05  -1.746114e-04   1.471183e-04   3.197421e-04  -2.632748e-04  -6.976056e-05   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.164299e+06   4.178186e+03   4.634837e+01   0.000000e+00
             81   4.800000e-02      1.0000000      0.0000000   8.000000e+00   8.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.762411e+00   3.523313e-02   0.000000e+00   0.000000e+00   2.291661e-02   1.000009e+00   1.000029e+00   9.999799e-01  -9.668834e-05  -1.762799e-04   1.427242e-04   3.176916e-04  -2.611575e-04  -7.258544e-05   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.173756e+06   4.086818e+03   4.706742e+01   0.000000e+00
             87   5.100000e-02      1.0000000      0.0000000   8.000000e+00   8.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.747826e+00   3.777846e-02   0.000000e+00   0.000000e+00   2.446950e-02   1.000009e+00   1.000029e+00   9.999809e-01  -9.533810e-05  -1.782538e-04   1.385492e-04   3.125735e-04  -2.571849e-04  -7.620587e-05   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.183477e+06   3.921639e+03   4.789306e+01   0.000000e+00
             92   5.400000e-02      1.0000000      0.0000000   8.000000e+00   8.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.733216e+00   4.042669e-02   0.000000e+00   0.000000e+00   2.613975e-02   1.000009e+00   1.000029e+00   9.999810e-01  -9.362084e-05  -1.801602e-04   1.348106e-04   3.097134e-04  -2.658539e-04  -8.023771e-05   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.193483e+06   3.790106e+03   4.886859e+01   0.000000e+00
             97   5.700000e-02      1.0000000      0.0000000   8.000000e+00   8.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.718282e+00   4.318105e-02   0.000000e+00   0.000000e+00   2.792340e-02   1.000009e+00   1.000029e+00   9.999829e-01  -9.181716e-05  -1.816736e-04   1.316140e-04   3.081162e-04  -2.592264e-04  -8.418188e-05   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.203765e+06   3.670733e+03   4.987426e+01   0.000000e+00
